,hidden_dim,num_layers,dropout,lr,batch_size,val_accuracy_final,val_accuracies,val_accuracy_peak,epoch_peak
6,128,1,0.5,0.0005,32,0.8416666666666667,"[0.5666666666666667, 0.8458333333333333, 0.9041666666666667, 0.8708333333333333, 0.9125, 0.8958333333333334, 0.7875, 0.8958333333333334, 0.8083333333333333, 0.8416666666666667]",0.9125,5
3,128,1,0.3,0.0005,64,0.8125,"[0.5, 0.7541666666666667, 0.8458333333333333, 0.8708333333333333, 0.8875, 0.85, 0.8416666666666667, 0.8291666666666667, 0.8333333333333334, 0.8125]",0.8875,5
1,128,1,0.3,0.001,64,0.8333333333333334,"[0.6458333333333334, 0.8833333333333333, 0.8875, 0.875, 0.8583333333333333, 0.825, 0.8625, 0.8458333333333333, 0.85, 0.8333333333333334]",0.8875,3
15,128,2,0.5,0.0005,64,0.8166666666666667,"[0.6083333333333333, 0.8458333333333333, 0.8666666666666667, 0.8833333333333333, 0.8833333333333333, 0.8708333333333333, 0.8541666666666666, 0.8458333333333333, 0.8208333333333333, 0.8166666666666667]",0.8833333333333333,4
5,128,1,0.5,0.001,64,0.8333333333333334,"[0.6083333333333333, 0.8458333333333333, 0.85, 0.8625, 0.8833333333333333, 0.8416666666666667, 0.8541666666666666, 0.8291666666666667, 0.8333333333333334, 0.8333333333333334]",0.8833333333333333,5
26,256,2,0.3,0.0005,32,0.8166666666666667,"[0.8083333333333333, 0.8791666666666667, 0.8625, 0.8583333333333333, 0.8833333333333333, 0.8666666666666667, 0.8208333333333333, 0.8708333333333333, 0.8291666666666667, 0.8166666666666667]",0.8833333333333333,5
25,256,2,0.3,0.001,64,0.8,"[0.7583333333333333, 0.8458333333333333, 0.8833333333333333, 0.8541666666666666, 0.8625, 0.8375, 0.825, 0.8333333333333334, 0.8458333333333333, 0.8]",0.8833333333333333,3
20,256,1,0.5,0.001,32,0.8458333333333333,"[0.8375, 0.8791666666666667, 0.8583333333333333, 0.85, 0.8666666666666667, 0.8458333333333333, 0.8458333333333333, 0.8083333333333333, 0.8041666666666667, 0.8458333333333333]",0.8791666666666667,2
18,256,1,0.3,0.0005,32,0.8541666666666666,"[0.775, 0.8458333333333333, 0.8458333333333333, 0.8791666666666667, 0.8666666666666667, 0.8, 0.8583333333333333, 0.8375, 0.8291666666666667, 0.8541666666666666]",0.8791666666666667,4
31,256,2,0.5,0.0005,64,0.8625,"[0.8208333333333333, 0.8583333333333333, 0.8583333333333333, 0.875, 0.85, 0.8416666666666667, 0.8333333333333334, 0.8291666666666667, 0.8583333333333333, 0.8625]",0.875,4
4,128,1,0.5,0.001,32,0.8541666666666666,"[0.7958333333333333, 0.8541666666666666, 0.875, 0.8416666666666667, 0.8541666666666666, 0.85, 0.8291666666666667, 0.8291666666666667, 0.8208333333333333, 0.8541666666666666]",0.875,3
19,256,1,0.3,0.0005,64,0.8458333333333333,"[0.5541666666666667, 0.8125, 0.8458333333333333, 0.875, 0.8625, 0.8208333333333333, 0.8541666666666666, 0.8666666666666667, 0.8541666666666666, 0.8458333333333333]",0.875,4
27,256,2,0.3,0.0005,64,0.8291666666666667,"[0.7416666666666667, 0.8625, 0.8708333333333333, 0.825, 0.825, 0.8458333333333333, 0.8, 0.8458333333333333, 0.8208333333333333, 0.8291666666666667]",0.8708333333333333,3
22,256,1,0.5,0.0005,32,0.8541666666666666,"[0.6833333333333333, 0.8208333333333333, 0.8208333333333333, 0.8541666666666666, 0.8708333333333333, 0.8458333333333333, 0.8291666666666667, 0.8375, 0.8416666666666667, 0.8541666666666666]",0.8708333333333333,5
0,128,1,0.3,0.001,32,0.8041666666666667,"[0.7958333333333333, 0.85, 0.8708333333333333, 0.8708333333333333, 0.8458333333333333, 0.8666666666666667, 0.8291666666666667, 0.8583333333333333, 0.8083333333333333, 0.8041666666666667]",0.8708333333333333,3
14,128,2,0.5,0.0005,32,0.8125,"[0.775, 0.8208333333333333, 0.8541666666666666, 0.8166666666666667, 0.8416666666666667, 0.8708333333333333, 0.8125, 0.7958333333333333, 0.8333333333333334, 0.8125]",0.8708333333333333,6
9,128,2,0.3,0.001,64,0.775,"[0.7916666666666666, 0.8708333333333333, 0.8083333333333333, 0.8583333333333333, 0.8333333333333334, 0.7625, 0.8333333333333334, 0.8, 0.8, 0.775]",0.8708333333333333,2
2,128,1,0.3,0.0005,32,0.825,"[0.5875, 0.8666666666666667, 0.8, 0.8708333333333333, 0.8708333333333333, 0.8458333333333333, 0.8708333333333333, 0.8416666666666667, 0.8583333333333333, 0.825]",0.8708333333333333,4
13,128,2,0.5,0.001,64,0.8,"[0.7291666666666666, 0.8583333333333333, 0.8708333333333333, 0.8625, 0.8541666666666666, 0.8333333333333334, 0.8208333333333333, 0.8375, 0.7916666666666666, 0.8]",0.8708333333333333,3
30,256,2,0.5,0.0005,32,0.8416666666666667,"[0.825, 0.85, 0.8666666666666667, 0.85, 0.8583333333333333, 0.8125, 0.8375, 0.8583333333333333, 0.8541666666666666, 0.8416666666666667]",0.8666666666666667,3
24,256,2,0.3,0.001,32,0.8333333333333334,"[0.8125, 0.8416666666666667, 0.8166666666666667, 0.8666666666666667, 0.8458333333333333, 0.8125, 0.825, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334]",0.8666666666666667,4
16,256,1,0.3,0.001,32,0.8375,"[0.7916666666666666, 0.8416666666666667, 0.8666666666666667, 0.8041666666666667, 0.825, 0.8208333333333333, 0.8416666666666667, 0.8375, 0.8125, 0.8375]",0.8666666666666667,3
8,128,2,0.3,0.001,32,0.8625,"[0.8208333333333333, 0.8541666666666666, 0.8166666666666667, 0.8416666666666667, 0.8375, 0.8291666666666667, 0.825, 0.825, 0.8208333333333333, 0.8625]",0.8625,10
12,128,2,0.5,0.001,32,0.7833333333333333,"[0.8416666666666667, 0.8625, 0.825, 0.7833333333333333, 0.8166666666666667, 0.775, 0.7833333333333333, 0.8166666666666667, 0.7666666666666667, 0.7833333333333333]",0.8625,2
11,128,2,0.3,0.0005,64,0.8125,"[0.6625, 0.8375, 0.8583333333333333, 0.8291666666666667, 0.8166666666666667, 0.8083333333333333, 0.8041666666666667, 0.85, 0.825, 0.8125]",0.8583333333333333,3
10,128,2,0.3,0.0005,32,0.8458333333333333,"[0.8416666666666667, 0.8458333333333333, 0.85, 0.8125, 0.8416666666666667, 0.8375, 0.8458333333333333, 0.8541666666666666, 0.8416666666666667, 0.8458333333333333]",0.8541666666666666,8
7,128,1,0.5,0.0005,64,0.825,"[0.5, 0.7083333333333334, 0.825, 0.85, 0.85, 0.8291666666666667, 0.8541666666666666, 0.8125, 0.8333333333333334, 0.825]",0.8541666666666666,7
23,256,1,0.5,0.0005,64,0.8458333333333333,"[0.5541666666666667, 0.7041666666666667, 0.8458333333333333, 0.8541666666666666, 0.8125, 0.8458333333333333, 0.8416666666666667, 0.7916666666666666, 0.8416666666666667, 0.8458333333333333]",0.8541666666666666,4
